"Format","MoTeC CSV File",,,"Workbook","Driver"
"Venue","daytona 2011 road",,,"Worksheet","Driver General"
"Vehicle","porsche718gt4",,,"Vehicle Desc","porsche718gt4"
"Driver","Craig Putzstuck",,,"Engine ID",""
"Device","ADL"
"Comment","baseline.sto",,,"Session","Race"
"Log Date","6/19/2025",,,"Origin Time","0.000","s"
"Log Time","12:54:24 PM",,,"Start Time","0.000","s"
"Sample Rate","1.000","Hz",,"End Time","1545.217","s"
"Duration","1545.217","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","70421","m"
"Beacon Markers","96.189 216.621 333.781 450.185 566.681 683.183 799.418 915.999 1033.713 1150.292 1268.527 1385.641 1532.211 "
"Time","Distance","Brake","Throttle","Fuel Level","Fuel Remaining","Lap","LapDeltaToBestLap","Speed","Tyre Pres FL","Tyre Pres FR","Tyre Pres RL","Tyre Pres RR","Steering Wheel Angle","TrackTemp"
"s","m","%","%","l","%","","s","m/s","kPa","kPa","kPa","kPa","rad","C"
"0.000","0","100.000000","0.000000","44.0000000","50.5747136","0","0.0000000","0.0181869","172.369008","172.369008","165.474016","165.474016","-0.05921532","22.2222288"
"1.000","0","100.000000","0.000000","43.9998144","50.5744928","0","0.0000000","0.0043665","172.366848","172.366976","165.472592","165.472736","-0.05921532","22.2222288"
"2.000","0","100.000000","0.000000","43.9988256","50.5733600","0","0.0000000","0.0006052","172.365760","172.365920","165.472448","165.472352","-0.02541533","22.2222288"
"3.000","0","100.000000","0.000000","43.9982176","50.5726624","0","0.0000000","0.0000874","172.364528","172.364848","165.472288","165.472256","-0.04637643","22.2222288"
"4.000","0","100.000000","0.000000","43.9977120","50.5720800","0","0.0000000","0.0000375","172.361984","172.362192","165.471072","165.471040","-0.02724932","22.2222288"
"5.000","0","100.000000","0.000000","43.9972064","50.5715040","0","0.0000000","0.0000226","172.357040","172.357136","165.468032","165.468000","-0.01781698","22.2222288"
"6.000","0","100.000000","0.000000","43.9967008","50.5709152","0","0.0000000","0.0000286","172.352240","172.352272","165.464944","165.464928","-0.02436662","22.2222288"
"7.000","0","100.000000","0.000000","43.9961888","50.5703328","0","0.0000000","0.0000135","172.347504","172.347664","165.461856","165.461824","-0.02594020","22.2222288"
"8.000","0","100.000000","0.000000","43.9956832","50.5697472","0","0.0000000","0.0000122","172.342720","172.342848","165.458752","165.458752","-0.02620162","22.2222288"
"9.000","0","100.000000","0.000000","43.9951776","50.5691712","0","0.0000000","0.0000231","172.338160","172.338288","165.455632","165.455632","-0.03170357","22.2222288"
"10.000","0","100.000000","0.000000","43.9946720","50.5685888","0","0.0000000","0.0001560","172.333664","172.333664","165.452512","165.452480","-0.04244705","22.2222288"
"11.000","0","100.000000","0.000000","43.9941600","50.5680000","0","0.0000000","0.0000885","172.329216","172.329216","165.449424","165.449392","-0.05030784","22.2222288"
"12.000","0","100.000000","0.000000","43.9936512","50.5674176","0","0.0000000","0.0001226","172.324752","172.324816","165.446288","165.446288","-0.05423723","22.2222288"
"13.000","0","100.000000","0.000000","43.9931488","50.5668416","0","0.0000000","0.0001592","172.320128","172.320160","165.443168","165.443168","-0.05135453","22.2222288"
"14.000","0","100.000000","0.000000","43.9926400","50.5662560","0","0.0000000","0.0000631","172.315264","172.315200","165.440064","165.440064","-0.06314574","22.2222288"
"15.000","0","100.000000","0.000000","43.9921312","50.5656672","0","0.0000000","0.0001357","172.310880","172.310736","165.436944","165.436944","-0.06786238","22.2222288"
"16.000","0","100.000000","0.567201","43.9916224","50.5650816","0","0.0000000","0.0001678","172.306352","172.306144","165.433968","165.433968","-0.07965257","22.2222288"
"17.000","1","0.000000","57.854516","43.9879104","50.5608128","0","0.0000000","2.4588812","172.265824","172.265600","165.406064","165.406032","-0.09223004","22.2222288"
"18.000","5","0.000000","46.584468","43.9825792","50.5546880","0","0.0000000","6.1626300","172.123920","172.124192","165.313440","165.313504","-0.09249145","22.2222288"
"19.000","13","0.000000","54.648584","43.9737248","50.5445152","0","0.0000000","9.9497984","171.943424","171.943792","165.193632","165.193696","-0.06969636","22.2222288"
"20.000","25","0.000000","27.348952","43.9612928","50.5302240","0","0.0000000","13.7583792","171.750112","171.750624","165.064480","165.064400","-0.01362516","22.2222288"
"21.000","39","0.000000","0.000000","43.9588960","50.5274688","0","0.0000000","12.5578912","171.592352","171.592880","164.957072","164.956720","0.04323435","22.2222288"
"22.000","51","0.000000","30.234274","43.9550816","50.5230816","0","0.0000000","12.2734592","171.484032","171.484416","164.879696","164.879232","0.04926013","22.2222288"
"23.000","64","0.000000","38.224416","43.9447072","50.5111584","0","0.0000000","14.5614912","171.394912","171.395392","164.813008","164.812160","-0.01283888","22.2222288"
"24.000","80","0.000000","37.780516","43.9327392","50.4974016","0","0.0000000","16.7561984","171.319168","171.319536","164.754352","164.753264","0.00393039","22.2222288"
"25.000","98","0.000000","21.134402","43.9237024","50.4870112","0","0.0000000","18.2853008","171.258704","171.258784","164.705920","164.704640","0.00628924","22.2222288"
"26.000","117","0.000000","57.657232","43.9137760","50.4756096","0","0.0000000","19.9866528","171.213104","171.213136","164.668848","164.667104","0.06000362","22.2222288"
"27.000","138","0.000000","35.782992","43.9019168","50.4619712","0","0.0000000","21.9641968","171.177040","171.177104","164.639184","164.636800","0.40928192","22.2222288"
